A01,로마,http://cfile214.uf.daum.net/image/1960C9194A1B2BFD1329FF,Luciano Pavarotti & Lucio Dalla,Caruso,Y9GV4HIcOO4
A02,베네치아,http://cfile204.uf.daum.net/image/196055194A1B2DD93DF556,tu mi rubi l'anima,Collage,GjEfA-INOeA
A03,오스트리아/스위스,http://cfile215.uf.daum.net/image/145F74194A1B33A64424CC,Il mio rifugio,Riccardo Cocciante,0hDqHfxyjDs
A04,파리/런던/프랑크푸르트,http://cfile232.uf.daum.net/image/115F47194A1B34F42C7263,le temps des cathédrales (대성당들의 시대),Bruno Pelletier,dSa0Z0Yd0J0
B01,보봉호/천자산/원가계,http://cfile217.uf.daum.net/image/144616134B15F9BA73F220,소성고사,등려군,2-Cqdh7fDJU
B02,십리화랑/황룡동굴,http://cfile224.uf.daum.net/image/1719D8104B15FD2A912FC9,월량대표아적심,등려군,9Wp3a2DnkoE
B03,항주서호/상해예원,http://cfile237.uf.daum.net/image/193D72014B15FEDD6080E1,야래향,등려군,vYW8b6f_iSo
B04,장가계 기념사진,http://cfile222.uf.daum.net/image/172C60044B15FF5FC93A04,하일군재래,등려군,3nJAMPcLNEY
C01,이스탄불,http://cfile233.uf.daum.net/image/176009234B160C390893AD,Ask Olsun,Ayla,TW0XYkzdFfI
C02,카파도키아,http://cfile221.uf.daum.net/image/207147204B160E0505C964,Nari Nari,Hisham Abbas,S-kJCVxtSyo
C03,파묵칼레/에페소,http://cfile206.uf.daum.net/image/1269B0204B160ED521084C,Yahabibi,Widy,1xSl8qeonCE
C04,트로이/이스탄불,http://cfile232.uf.daum.net/image/1854BB1B4B16106243AFD7,Elama,Yasser Habeeb,XRcPrqhmJtE
D01,인민광장/홍산공원,http://cfile216.uf.daum.net/image/130248274B1630A8A7F6FF,Сэтгэл гэгэлзэх орчлон,baagii batmunkh,_Hy8nh8yaT0
D02,양관토성/돈황고성,http://cfile215.uf.daum.net/image/154A29274B16329D1E4D4B,花儿与少年 Flowers and Youth,민요,RxwckcKbLUs
D03,명사산/월아천,http://cfile240.uf.daum.net/image/1932AB124B1635141428AD,Alsiin Gazriin Zereglee Dangaar,burenbaatar Agvaandash,dj5VK24Mh5E
D04,돈황석굴(막고굴),http://cfile203.uf.daum.net/image/20762E134B1635F219DB01,Husliin shine jil HD,Ariunaa,2gmrT5bBRpY
D05,고창고성,http://cfile201.uf.daum.net/image/130485104B1637BC55A80A,Durvun tsagiin tal,Uuriintuya klip,Y2Bdu8MdE4o
D06,천불동/소공탑,http://cfile231.uf.daum.net/image/17710E114B1639AF5F0BBA,Havriin shuniin bodol,민요,rlKdGqBx4MY
D07,교하고성,http://cfile225.uf.daum.net/image/1756C7244B163B10137FF0,Anverc Khavar,Maral Ayvaz,d7mlv7T5GGI
D08,천산천지,http://cfile236.uf.daum.net/image/197D31254B163E243DE3F9,Khuh Mongoliin ur sad,Ariunaa,dFpbjxt4JBI
D09,남산목장,http://cfile219.uf.daum.net/image/1661E1264B163F482F2706,青春舞曲,위구르민요,aNzZ09_-_jA
D10,위구르민속쇼,http://cfile208.uf.daum.net/image/20550A244B1640C81A18FC,Hongor ur min,G. Erdenechimeg,-kWkfN0HPUo
E01,앵커리지,http://cfile203.uf.daum.net/image/133358264B16F7F1240E75,거꾸로 강을 거슬러 오르는 저 힘찬 연어들처럼,강산에,tLfPWyfHfWg
E02,매킨리봉,http://cfile207.uf.daum.net/image/1524D8244B16FA12232A8E,North To Alaska,Johnny Horton,RO6IU9RpjS8
E03,빙하유람선,http://cfile232.uf.daum.net/image/2052F2284B16FA84372E3A,El condor pasa,Paul Simon & Garfunkel,fYKV7onO1n8
E04,알래스카의 꽃,http://cfile239.uf.daum.net/image/197115204B16FD2D4725C2,Yesterday Once More,Carpenters,PlrWUiK-vNo
F01,워싱턴/나이아가라,http://cfile225.uf.daum.net/image/126CFA054B171B337FEC67,I cant stop lovin you,Ray Charles,1HJuiKm6r8o
F02,토론토/천섬,http://cfile201.uf.daum.net/image/1253B1034B171D19935BF5,You Mean Everything To Me,Neil Sedaka,72BFoZ5pMZQ
F03,퀘벡,http://cfile206.uf.daum.net/image/116B0A014B171F4FB3A318,Woman In Love,Barbra Streisand,vVYXBMfZ2Zk
F04,보스톤/맨하탄,http://cfile236.uf.daum.net/image/125371024B17217EA774F9,Top Of The World,Carpenters,9fDYbvQgaIU
G01,황산 산상,http://cfile209.uf.daum.net/image/1354CC0D4B172A3C33F66E,滄海一聲笑(창해일성소),劉曉(류샤오),we8s5kUchjg
G02,비취계곡/잠구민택/휘주문화원,http://cfile213.uf.daum.net/image/18267C104B173DD759A656,천애과객(天涯过客),주걸륜(周杰伦),RCCq6HLgfp4
G03,동방문화원/한산사,http://cfile202.uf.daum.net/image/126482114B173F8378C0BF,해운,등려군,V7RGN05nrr8
G04,동방명주탑/예원,http://cfile210.uf.daum.net/image/200153044B17478A3C9CCF,천약유정(天若有情),원봉영(袁鳳瑛),ATb41NcCCOU
H01,정주/개봉,http://cfile229.uf.daum.net/image/146F7E0C4B1767910A6150,신원앙호접몽,황안,k8VjlSpW4eI
H02,천폭협/담폭협/홍석협,http://cfile201.uf.daum.net/image/11345E114B176C33427D5D,牵手 (Holding Hands),苏芮 (Julie Sue),TDGLKpoixGk
H03,소림사/백마사/관림,http://cfile227.uf.daum.net/image/127510104B176EB0591394,Nan Er Dang Zi Qiang,Lam Chi Cheung,qUldqf_6l7o
H04,용문석굴/천자가육박물관,http://cfile202.uf.daum.net/image/185072134B1771C0777F27,朋友別哭(붕우별곡),劉紫玲(Liu zi ling),RoMomzTmCrk
I01,카이로,http://cfile226.uf.daum.net/image/1148C51C4B17937E339C91,El_salam_amana,Mostafa Kamel,sDwS7wX4n-w
I02,룩소,http://cfile239.uf.daum.net/image/167112044B179C935A48AB,El_Layali,Nawa_al_zoughbi,PWc0nE6_OXM
I03,에드푸/콤옴보,http://cfile229.uf.daum.net/image/126C98024B179E443865E6,Wayward_Nile,Chantays,dJPlOSgjmGU
I04,아부심벨,http://cfile230.uf.daum.net/image/177889194B17A4542469BD,Jewel_Of_The_Nile,Isis,SLjEaoK9OUo
I05,아스완/나일강디너크루즈,http://cfile222.uf.daum.net/image/191166154B17A67FB09988,Nassam Alayna El Hawa,Fairouz,n4CP1eVRDHk
I06,알렉산드리아,http://cfile208.uf.daum.net/image/182A0A154B17A9C778BF7B,When You Believe (From The Prince Of Egypt),Whitney Houston,p3dBuySkEdM
J01,LA 라플린,http://cfile220.uf.daum.net/image/183C55284B19101AAC21FE,나성에 가면,세샘트리오,JC7BVEM9obo
J02,3대캐년(그랜드/브라이스/자이언),http://cfile222.uf.daum.net/image/154BF0274B1912901B6E63,콜로라도의 밤 (미국 민요),이미자,-or4BCJVaNE
J03,라스베가스,http://cfile218.uf.daum.net/image/137C37034B1915D71CDC69,Viva Las Vegas,Elvis Presley,juHRP-XukYo
J04,은광촌/요세미티,http://cfile238.uf.daum.net/image/182C73014B19199619E856,Hotel California,Eagles,HRFd8mYUozw
J05,샌프란시스코,http://cfile239.uf.daum.net/image/140BD9034B191C843BCE2E,샌프란시스코,은방울자매,SYVpZmjPL6U
J06,미서부의 꽃,http://cfile222.uf.daum.net/image/174E08044B191F47A834C8,들꽃,조용필,8Enl1TGJ4l4
K01,닌빈섬,http://cfile219.uf.daum.net/image/1859200C4C09BDB81A3BAA,Muoi_Nam_Ao_Tim,Thuy_Hang,5Yy1h93k68w
K02,하롱베이,http://cfile210.uf.daum.net/image/14751F284C09C0712C8583,Chut ky niem buon,Nhu Quynh,Gvm6UU6rbhg
K03,천궁동굴,http://cfile236.uf.daum.net/image/1551FF1D4C09C2F02BFBCA,Uoc_Gi,My_Tam,o3mvpYuXaSw
K04,하노이,http://cfile239.uf.daum.net/image/1757F8174C09CB7E1D0FD8,La_Playa,Ngoc_Lan,6FKAL63Al10
L01,앙코르와트,http://cfile235.uf.daum.net/original/1841D21B4C847FF53968B2,Khek Mon Sam San,민요,tJBEspONwjE
L02,반떼이스레이/타프롬,http://cfile224.uf.daum.net/original/12690A134C848F2F6271B3,Cambodia,Kim_Wilde,TNoV2STXrkE
L03,앙코르톰/프놈바켕,http://cfile212.uf.daum.net/original/12728B0D4C8490915C49AD,Yang Nah Hauy Sneah Knyom,Touch Srey Leak,-PYXYhEug_k
L04,앙코르박물관/바콩,http://cfile204.uf.daum.net/original/1913A2354C84960829900B,Nirk Rohot,meas soksophea,y0h4MHfOYzw
L05,톤레삽/와트마이,http://cfile235.uf.daum.net/original/1124F0334C84989421C9F1,05 Torosap Ror Khmean Ney.mp3,Khemarak Sereymon,BNK0d48cTg4
